"K","lik"
25,-6.32067178340042
25,-7.32805184550651
25,-6.24696773888422
25,-7.28025035986384
25,-7.04474727750071
25,-7.51211000843057
25,-7.46107288038594
25,-7.84204526126934
25,-7.77456789196386
25,-7.02562869153001
25,-7.55809758540925
25,-7.33757516602499
25,-6.90690371829317
25,-6.73568090465305
25,-7.28338052594995
25,-7.62547217900788
25,-7.05418612391746
25,-7.15221516119661
25,-7.7572827561938
25,-8.11121170075473
25,-7.23372147174726
25,-8.22090156235083
25,-7.44833906086263
25,-7.42477160549714
25,-6.81579699393223
25,-6.90255331254828
25,-6.59817292532337
25,-7.71328207481611
25,-6.93671419331636
25,-7.73666879292988
25,-7.421911387522
25,-7.86520575451032
25,-7.08404528299438
25,-8.14803663537027
25,-7.42806639067683
25,-8.06198920775394
25,-6.77209685095508
25,-7.71004563560963
25,-6.31444522683416
25,-8.01687876284945
25,-7.4679608621176
25,-8.11668145155823
25,-6.07197102835701
25,-7.44267601650988
25,-7.212310171879
25,-7.47953007855841
25,-5.69684050834187
25,-7.49885425524563
25,-7.7911038861026
25,-7.30930129086015
25,-7.67937956342543
25,-7.35027377630542
25,-7.27567502251366
25,-7.13997249806708
25,-6.47120301384103
25,-6.89613382611576
25,-6.54549192935441
25,-7.15455574882991
25,-7.79869656035291
25,-7.46430526552513
25,-7.03092276476867
25,-8.09252225864704
25,-7.64387678424701
25,-7.6854257579497
25,-7.70992980831021
25,-7.41593691494644
25,-7.51393637890157
25,-7.60683486166918
25,-7.24927675898693
25,-7.37933540964335
25,-7.68841177923071
25,-6.78306382781617
25,-7.53530303299405
25,-6.71756987721204
25,-8.16523081507517
25,-7.79707698739775
25,-8.19776726158275
25,-7.04308235346938
25,-8.36599230808125
25,-6.70141988495933
25,-7.45043319406736
25,-7.33568276233959
25,-6.13539728336062
25,-8.21528800855142
25,-7.6566017135585
25,-7.5831649255626
25,-7.92873101195228
25,-6.90323061631178
25,-6.86948351758753
25,-6.95184418052729
25,-7.02502070813385
25,-7.88072286805956
25,-8.09169874695607
25,-6.64149176536901
25,-7.55944587007461
25,-7.27841941075452
25,-7.41456673230265
25,-7.4122583856836
25,-6.93676980890893
25,-7.6941382837253
25,-7.34844493221498
25,-7.55988381519319
25,-7.48409196871305
25,-8.47761253359363
25,-7.43329218437303
25,-7.5387857667823
25,-7.38682541935576
25,-8.24230855711313
25,-7.02838435771704
25,-6.42092484228936
25,-7.31523238640959
25,-8.28974680449234
25,-7.31410659027918
25,-7.76032636025291
25,-7.65065051425767
25,-7.25809638966824
25,-6.63491273405179
25,-7.59022230621078
25,-6.96730226400007
25,-7.06146161198318
25,-7.76509577136661
25,-6.75860097961067
25,-7.33534036600817
25,-8.38469299522458
25,-7.22459176422411
25,-6.69458647360002
25,-7.14760047551624
25,-7.73071421423786
25,-8.13857211132842
25,-7.40490117320033
25,-7.56136260272388
25,-7.34617336439586
25,-7.65998163856066
25,-8.19513441051816
25,-7.08411911514865
25,-7.21910167265002
25,-6.57840670603314
25,-7.69793099649752
25,-7.21501180271797
25,-7.79172351584121
25,-6.86985748361936
25,-6.90891467483263
25,-7.35538846997101
25,-7.32635150059677
25,-7.05682216904631
25,-6.92973697569844
25,-7.17184933361056
25,-8.05348922324398
25,-6.78262158867334
25,-7.3071528064234
25,-7.30160505696325
25,-7.57943188376916
25,-7.50096206881566
25,-6.86975344662091
25,-7.46821656916065
25,-6.78930466744439
25,-7.73464852711053
25,-7.43172066652331
25,-7.16542485550308
25,-7.13481625855559
25,-8.32412115413081
25,-7.0698948892894
25,-7.55703333301438
25,-7.58435318312627
25,-7.42564736263687
25,-7.77157055643692
25,-7.56594564121598
25,-7.12580592681436
25,-7.60956221476882
25,-6.75815162378707
25,-5.58862587993199
25,-7.35853553670412
25,-7.27572924681519
25,-8.22451021072131
25,-7.13873961631406
25,-6.86661752896869
25,-7.79215142126527
25,-7.13206573489439
25,-7.60840568808901
25,-6.89410621893961
25,-7.70874845227171
25,-7.51365721521126
25,-7.81785198155383
25,-6.99934833191068
25,-6.94894528508909
25,-6.98879550516186
25,-7.55188547237305
25,-6.88620365437735
25,-7.20232088668326
25,-7.35658521435591
25,-7.41982897351691
25,-7.00957628313757
25,-7.38924880858908
25,-8.11525984214993
25,-7.4109550991699
25,-8.00054212888298
25,-7.54580226413007
25,-6.99622999113097
25,-6.72824332962761
25,-6.17405426191435
25,-7.20870873375021
25,-7.33695033282055
25,-7.12924498374965
25,-7.8167527473344
25,-6.79809922526151
25,-7.25172151627386
25,-7.56237173428756
25,-6.90085990340143
25,-7.69830277960596
25,-8.04080672302481
25,-6.59710977223934
25,-7.01074287190909
25,-8.38921652268202
25,-7.61912731551014
25,-7.65218914199338
25,-6.86782698255317
25,-8.12346268663397
25,-7.21854246127538
25,-7.18215796758738
25,-8.40631406775633
25,-6.4501478670496
25,-7.32888150255167
25,-6.78183819383614
25,-6.60741792342289
25,-7.2739105055486
25,-6.62443305468068
25,-7.4746300498599
25,-7.49785920642526
25,-6.05860200035143
25,-7.4932689009701
25,-7.2614415554335
25,-7.61233592474199
25,-7.52381299195023
25,-7.62325921997965
25,-7.83545271385961
25,-7.66531448805971
25,-7.54546846289564
25,-8.24234021314511
25,-7.25124185294427
25,-7.7416679149245
25,-7.42799327140972
25,-6.18712373559995
25,-6.80756596355767
25,-6.4824005085595
25,-7.502288618874
25,-6.03899624422913
25,-7.05118917494548
25,-7.37295468029886
25,-6.83856805498274
25,-6.73154720174618
25,-7.42290923872235
25,-7.05564793793848
25,-7.53226948428704
25,-6.89754205348761
25,-6.76072630749669
25,-7.74998205883752
25,-7.31820191471067
25,-6.623449497794
25,-7.06543142171478
25,-7.06503604982282
25,-7.23688619656093
25,-7.58041038371867
25,-7.87947932655685
25,-6.28133376244723
25,-7.72287721837843
25,-7.58132953362989
25,-7.6962685188875
25,-7.0300231487683
25,-7.43025936069991
25,-7.10175077997829
25,-7.02532540869605
25,-7.62178099419402
25,-7.44219587903044
25,-6.86655783919736
25,-7.57554470348927
25,-7.27119954909394
25,-7.91202538889268
25,-8.23535860652055
25,-7.61508703291279
25,-6.91923686025506
25,-6.99004526810094
25,-6.81620324721086
25,-6.71496447520871
25,-7.07689380617948
25,-7.78201199065894
25,-6.66803655648884
25,-7.40144117043661
25,-7.50029394857037
25,-6.68419916878361
25,-7.8130639870785
25,-7.10118260557023
25,-6.85270613470501
25,-7.1058843318205
25,-7.48470191063652
25,-7.09328264387687
25,-7.34164381759779
25,-7.3361624904426
25,-7.55751748469874
25,-7.00398749363063
25,-6.96553253342395
25,-7.58817722208069
25,-7.50713581661395
25,-7.68181825985454
25,-6.95085971386887
25,-7.1721845802571
25,-7.04626078638711
25,-7.64063410549587
25,-7.57199102564744
25,-7.13833987126452
25,-8.06273626784979
25,-7.87241247132969
25,-7.31464691003588
25,-7.54821596589408
25,-7.70068914433137
25,-7.43200355024804
25,-5.41514045537433
25,-7.50706924538701
25,-7.42558358841714
25,-7.79083537596395
25,-7.27254234347084
25,-7.18244152653287
25,-7.72135762385476
25,-7.13918478646205
25,-7.38897542372366
25,-6.63707679449698
25,-7.10856322214135
25,-8.04212473484288
25,-6.52439680417112
25,-6.68465270976454
25,-7.85809991657225
25,-8.46864049004878
25,-7.43554155696359
25,-7.29782371722469
25,-7.32451707093348
25,-8.17627482306166
25,-6.89342599932853
25,-7.06565148033237
25,-7.12014769004777
25,-7.45301353280527
25,-6.74287446007117
25,-6.94658030307268
25,-6.47768410945369
25,-7.47656968795581
25,-7.36307897184345
25,-7.42215089450112
25,-7.74913839129196
25,-7.04974852495538
25,-7.6685226807217
25,-6.99198348223364
25,-7.41959015454782
25,-7.57578277961958
25,-6.70873794690283
25,-7.19763066590217
25,-7.08840882383489
25,-7.4125399710574
25,-7.06357611355268
25,-7.46640077036357
25,-7.49469365161527
25,-6.27136887932333
25,-7.02459833409833
25,-7.34457487249779
25,-7.31267064152987
25,-7.24583419260357
25,-7.10125849869646
25,-7.39882411824182
25,-7.59864519121358
25,-6.9787920047075
25,-6.6002801695861
25,-8.10524304864865
25,-7.38561876498627
25,-8.10939430847357
25,-7.08001846264883
25,-7.07585121542315
25,-7.68108665654243
25,-7.87289833753034
25,-6.8089823008378
25,-7.64405894150706
25,-8.09991395391436
25,-7.03111319767503
25,-7.10295960243007
25,-6.20421133743585
25,-6.96375525013204
25,-6.8470801242723
25,-7.65818643632637
25,-7.30344451020587
25,-8.97351571198466
25,-7.16432433462249
25,-7.69040897609487
25,-8.04077974582083
25,-7.17826179494958
25,-7.83934420914725
25,-7.26501600780857
25,-6.52712615506558
25,-7.35244795398483
25,-7.81732407106908
25,-6.48924722191949
25,-7.64089197031539
25,-7.8993154277436
25,-7.1891014905129
25,-7.6757541038262
25,-6.70622701805596
25,-7.54471239798943
25,-7.78242992096541
25,-7.55447928964868
25,-7.65437719272172
25,-7.45967755233183
25,-6.97337655480766
25,-8.03926449778657
25,-7.34062543938161
25,-7.23302209346252
25,-7.44331015801066
25,-7.10708751296463
25,-7.50481457997336
25,-6.0849646278468
25,-7.17967206342279
25,-7.24042420340985
25,-7.23252953156823
25,-7.76325709039521
25,-7.78151348228763
25,-7.82640170044783
25,-7.44310441701548
25,-7.93015938371258
25,-7.0392246052017
25,-8.43000182366118
25,-7.23486601841154
25,-7.55550663994767
25,-7.2346474937858
25,-7.28822603646599
25,-7.10319157066323
25,-7.39291510417361
25,-7.01209543739519
25,-6.45855464171444
25,-6.79132395887605
25,-7.22876321172552
25,-7.74384879964059
25,-7.61574796827809
25,-7.26654413200325
25,-7.60128502259509
25,-7.51230904926254
25,-7.31433622929388
25,-6.23901067574087
25,-6.63894083473563
25,-7.7869752137086
25,-8.16741604188583
25,-6.88815651025435
25,-7.52232703363344
25,-7.62375523342385
25,-7.94487019066144
25,-7.71890974794904
25,-7.30882732160754
25,-6.62469807552669
25,-6.7054335464757
25,-7.42306787097041
25,-7.67526589816506
25,-6.76662313875881
25,-7.31796389838384
25,-7.76402259778995
25,-7.90402180927276
25,-7.98441383614079
25,-7.68512144964763
25,-6.71827105514953
25,-6.27102207101415
25,-7.15412358350188
25,-7.17483094842516
25,-7.13729068193493
25,-7.54031906030805
25,-7.22295417673576
25,-7.30792852938182
25,-6.60279696221333
25,-7.34718410844179
25,-7.20495295291677
25,-7.31572942213315
25,-6.58048193059636
25,-7.35884884127598
25,-7.02120038806962
25,-6.88057074831612
25,-7.44582608876756
25,-6.95448973740908
25,-6.16773058723919
25,-7.74776900603681
25,-8.39269150582901
25,-6.64343356430477
25,-7.63374197634867
25,-7.38419836123079
25,-7.02063095447212
25,-7.64016801801535
25,-6.91014538808654
25,-6.18038942488646
25,-7.75204473433489
25,-6.76698908157399
25,-6.61330029882348
25,-7.80285873760258
25,-7.93536839143475
25,-7.58473634540342
25,-6.97684756394113
25,-7.64336362150564
25,-6.92377483073403
25,-6.77243422660836
