"K","lik"
30,-7.3717434759628
30,-7.63136933656767
30,-7.30688525325201
30,-7.01483491693205
30,-6.99956588652247
30,-7.35357089887735
30,-7.7111543177808
30,-7.0152341189938
30,-7.19978126599574
30,-8.31003870452781
30,-7.93909744093178
30,-7.12005901636985
30,-7.96695887843628
30,-7.72412729827297
30,-7.32619305254039
30,-7.30246214039814
30,-7.49686958828042
30,-6.5423971229566
30,-7.50605104683573
30,-7.07485507759113
30,-7.66249360242402
30,-7.70693071552993
30,-7.7757554668105
30,-7.82348531465811
30,-8.15940187560211
30,-7.08243624730447
30,-7.98756903600417
30,-7.0759054618862
30,-7.77943626349913
30,-6.22665207451335
30,-7.7327848320252
30,-7.45367684272583
30,-8.13565081992692
30,-6.12961403434843
30,-7.38679099591582
30,-7.77708402604515
30,-7.54680932642579
30,-6.60695943878617
30,-7.44218852222844
30,-7.79470537677339
30,-7.4131023293306
30,-7.6725666552954
30,-7.23647826404589
30,-7.4946680839928
30,-7.05144437616264
30,-6.58272804094881
30,-7.16582707568274
30,-6.42648768428561
30,-7.04845165448108
30,-7.75388599466604
30,-7.44585445075993
30,-7.03404906061638
30,-8.15486327053315
30,-7.32308702114329
30,-7.92558450285551
30,-7.39155141496029
30,-6.94304243167575
30,-7.41644352004257
30,-7.63868500213452
30,-7.25735273524229
30,-7.60015529097292
30,-7.55812783188276
30,-6.61832731138183
30,-7.37465493313447
30,-6.39085809583586
30,-8.24779235954946
30,-7.24822008283746
30,-7.73763086285783
30,-7.23397438241313
30,-8.20194657171349
30,-6.81564368326948
30,-7.72069139390764
30,-7.56926130387301
30,-6.06638208927366
30,-7.94157649635418
30,-7.87055865797587
30,-7.95923042239844
30,-7.5766877859871
30,-7.65257333283369
30,-6.63578516795376
30,-7.15286267399126
30,-7.01491053818716
30,-7.91444219372151
30,-7.84317856016133
30,-6.5964483271931
30,-7.60194432976046
30,-7.38031147992919
30,-6.89855461655827
30,-7.4170230299877
30,-6.98728129968819
30,-7.91557996039178
30,-7.60489135728216
30,-7.73173026834827
30,-7.63391114867
30,-8.74194286566305
30,-7.42062274926183
30,-7.33019462244078
30,-7.54015330831801
30,-8.1059018819505
30,-7.14228620472346
30,-6.45930076225727
30,-7.27412364781904
30,-8.29254761619791
30,-7.13812279573196
30,-7.70765058604161
30,-8.27055519052763
30,-6.64913902764191
30,-6.37633758067216
30,-8.03087910303274
30,-6.90348910170437
30,-7.10026750542247
30,-8.2461063498797
30,-6.51551274233523
30,-7.58055033292673
30,-8.4228301059817
30,-7.52033054163187
30,-6.7807407530801
30,-7.46513386927063
30,-8.12293928407728
30,-8.06643199925853
30,-7.58183914858584
30,-7.64173242627691
30,-7.60768342173562
30,-7.68950379244726
30,-7.71598111126737
30,-7.35886283008451
30,-7.31707284493721
30,-6.33396280851681
30,-7.80388922599171
30,-7.23111522801407
30,-7.4513800333269
30,-6.80801097006188
30,-6.78228480118907
30,-7.42638936034941
30,-7.38751362716869
30,-6.98244602539824
30,-7.03096256067137
30,-7.74005919921176
30,-8.25417495433673
30,-6.89392128282155
30,-6.98862407652982
30,-7.47720871013301
30,-7.85798399153016
30,-7.88901069393333
30,-7.34565523895595
30,-7.39335986222675
30,-6.68377705000792
30,-7.84332322456885
30,-6.97828858791995
30,-7.16525606249258
30,-7.41648392185506
30,-8.00335992764829
30,-6.93021716765655
30,-7.5855070580976
30,-7.4694552235176
30,-6.6838624543951
30,-7.9248734602729
30,-7.84436348170726
30,-6.92336579977329
30,-7.62598286462421
30,-6.79216195322927
30,-5.92319264059617
30,-7.18991192971002
30,-7.32167369843855
30,-7.99978884000043
30,-7.45867834677418
30,-7.03049178860655
30,-8.62441230830135
30,-7.30633653799671
30,-7.37651855028404
30,-6.9157358527702
30,-7.88939825567476
30,-7.72823553142358
30,-8.18738927722847
30,-7.34732284782798
30,-7.29311437452775
30,-7.17063444522758
30,-7.4877786296332
30,-7.36310137232739
30,-7.28302424833012
30,-7.53859793477804
30,-7.41362356393384
30,-6.82925950875496
30,-7.33108015096847
30,-8.15756464164152
30,-7.68619081961462
30,-7.86381612345932
30,-7.39316808534581
30,-6.76556737944846
30,-6.86230293129541
30,-6.40794472070341
30,-7.22186424472519
30,-7.84603005876524
30,-7.32029832948348
30,-7.8463263046144
30,-6.97936851078287
30,-7.24471904129494
30,-7.00829430861619
30,-6.94175513995932
30,-7.77795635235685
30,-8.48557485026833
30,-6.65655348751306
30,-7.10687910519202
30,-8.18923775820812
30,-7.64001456880329
30,-7.70316707908652
30,-6.76200470413107
30,-7.89866302209569
30,-7.23162399790475
30,-7.29002553917585
30,-8.50434293813177
30,-6.67703156032867
30,-7.33380986569346
30,-7.07211806981529
30,-6.65991944284399
30,-7.52363907802948
30,-6.91321837072055
30,-7.98578144900115
30,-7.56985506749508
30,-6.37537625113803
30,-7.70041212098254
30,-7.61407009467199
30,-7.78361255317654
30,-7.35524486736137
30,-7.24016078382132
30,-7.63499786094287
30,-7.73675818754723
30,-7.69235797290436
30,-8.19839762712051
30,-7.09062385475512
30,-8.40869568842327
30,-7.58633272410932
30,-6.17940776061217
30,-6.57810805593384
30,-6.97179301976379
30,-7.22081521293233
30,-6.19699389335539
30,-6.84703961848871
30,-7.28747845479778
30,-6.90248468946583
30,-6.7933177601553
30,-7.29843738529744
30,-7.11444351691105
30,-7.56991901678471
30,-6.85436098358383
30,-7.14971617635153
30,-7.50188481059263
