"K","holdout","lik"
60,1,-8.04702970983709
60,1,-7.19104516093963
60,1,-7.49044647797061
60,1,-7.06656578854582
60,1,-6.67435173110053
60,1,-7.894193658928
60,1,-7.89755696151843
60,1,-8.07214330479492
60,1,-7.25033505592733
60,1,-7.18467182722853
60,1,-7.00596998638267
60,1,-6.41862101263069
60,1,-7.08283234718455
60,1,-7.86132389864181
60,1,-7.33376044104693
60,1,-7.08482031205434
60,1,-7.69471231559119
60,1,-7.48649357840401
60,1,-7.67614380429347
60,1,-7.19737631403482
60,1,-7.87442041382503
60,1,-7.87042219367741
60,1,-6.88052274450216
60,1,-7.21579868579969
60,1,-7.31553702317505
60,1,-7.75131910416828
60,1,-7.75737215373079
60,1,-7.3435687057466
60,1,-7.11352368641292
60,1,-7.76923492034856
60,1,-8.58688362954636
60,1,-6.96794325374685
60,1,-7.78701749390964
60,1,-7.28884528168451
60,1,-7.47468609039234
60,1,-8.66671554976487
60,1,-7.68733387416206
60,1,-7.28798480939845
60,1,-7.30201664945498
60,1,-7.59152896951679
60,1,-7.17796309413285
60,1,-7.55002823101182
60,1,-8.00247670219533
60,1,-6.4190955403255
60,1,-7.63611753001711
60,1,-8.13268269132844
60,1,-8.02174964972682
60,1,-7.88155783733852
60,1,-7.79949333570651
60,1,-7.66423763461581
60,1,-7.38751682885438
60,1,-7.90174704228581
60,1,-8.34961519189917
60,1,-7.7804477087122
60,1,-7.30631951028016
60,1,-6.66584293642191
60,1,-6.54688640758011
60,1,-7.23998066107814
60,1,-7.23559022860058
60,1,-7.23839827243886
60,1,-7.52892216823324
60,1,-7.31971901473119
60,1,-7.17998280525222
60,1,-6.77213361102054
60,1,-7.6098245347336
60,1,-8.0565242391953
60,1,-7.73191792679695
60,1,-7.64610702335432
60,1,-6.84936952683568
60,1,-7.48177664867087
60,1,-7.65182744757752
60,1,-7.32479460867295
60,1,-7.95898871009326
60,1,-6.73081092254029
60,1,-7.01534318945345
60,1,-7.53495946557208
60,1,-7.09111627987737
60,1,-7.19574925095285
60,1,-6.96913170290189
60,1,-6.81223884113992
60,1,-6.35396377522044
60,1,-7.07802092224508
60,1,-7.78615263213517
60,1,-7.81429501728058
60,1,-7.34802034776172
60,1,-6.57238663742918
60,1,-7.2908214689652
60,1,-7.301793327215
60,1,-5.82772564707323
60,1,-8.42694513449869
60,1,-6.99509805217742
60,1,-6.80196047034437
60,1,-8.16460492308089
60,1,-8.09673822962328
60,1,-7.77229238168825
60,1,-6.98381884489631
60,1,-7.41271978100824
60,1,-7.38605752590939
60,1,-7.42842079970904
60,1,-7.32011423919567
60,1,-7.32584186156136
60,1,-8.19905140338272
60,1,-6.75619221483013
60,1,-7.50452726231393
60,1,-6.37982066206094
60,1,-7.7400638278792
60,1,-6.903787663697
60,1,-7.1818262359934
60,1,-7.19288514008435
60,1,-7.10093063983689
60,1,-7.25224788842797
60,1,-7.25315611217314
60,1,-7.35555769038412
60,1,-6.9480151068347
60,1,-8.60873446695647
60,1,-7.66882136669651
60,1,-8.05655611022348
60,1,-7.26281260781573
60,1,-6.78599000192528
60,1,-8.19743058830214
60,1,-7.47294357576433
60,1,-7.63563431425406
60,1,-7.2261542017106
60,1,-6.50240696811142
60,1,-8.09420079235513
60,1,-6.78996345445993
60,1,-7.66003259445008
60,1,-7.56436891326431
60,1,-7.9449687718764
60,1,-8.04156344893228
60,1,-7.49516965942071
60,1,-7.25877057332499
60,1,-7.73872420576874
60,1,-7.65828389359564
60,1,-7.62250840945581
60,1,-6.34367976379517
60,1,-6.93436599214401
60,1,-7.57665469910819
60,1,-7.7096881373907
60,1,-7.47211702710344
60,1,-7.21395278672909
60,1,-7.8272945699884
60,1,-7.65962193437633
60,1,-6.86893175614197
60,1,-6.5722084683663
60,1,-7.41192107935059
60,1,-8.16110862813121
60,1,-7.60202702512518
60,1,-8.15782844488912
60,1,-7.43978027840392
60,1,-8.08411154877508
60,1,-6.47879007167067
60,1,-7.42113985227148
60,1,-7.07721787146995
60,1,-7.4040589003061
60,1,-7.85373174414972
60,1,-7.27676105213994
60,1,-7.14340981653008
60,1,-7.46932324874126
60,1,-8.0172474022811
60,1,-7.99063292458916
60,1,-7.26818607271567
60,1,-7.68540945545971
60,1,-6.98068498856053
60,1,-8.07773674745175
60,1,-8.06455175803109
60,1,-7.75558877904652
60,1,-6.75186978550738
60,1,-7.57566849425934
60,1,-6.70670573620094
60,1,-7.34937552301768
60,1,-7.50741490782939
60,1,-7.63078010272268
60,1,-6.839948497485
60,1,-8.36509448205394
60,1,-6.89997149285364
60,1,-7.45398488327948
60,1,-7.55297197958754
60,1,-7.30050551460281
60,1,-6.59804408090462
60,1,-7.36240224118903
60,1,-6.84690975320636
60,1,-8.2543137907047
60,1,-7.45592043843187
60,1,-7.31115434537879
60,1,-5.84131530352291
60,1,-7.14980644553192
60,1,-7.58675965665599
60,1,-7.00982796808674
60,1,-7.77689823878144
60,1,-7.32594942168298
60,1,-7.78956327445844
60,1,-7.28262712060228
60,1,-7.1052627502681
60,1,-7.77047973252425
60,1,-7.5623546953509
60,1,-7.37380282339515
60,1,-7.27800640173948
60,1,-6.95739921772276
60,1,-7.65219809457114
60,1,-6.7004176674423
60,1,-7.49181167677507
60,1,-7.72732447400305
60,1,-8.0408215837603
60,1,-7.18652911946027
60,1,-6.68146675751553
60,1,-7.95629474023982
60,1,-7.28379719007003
60,1,-7.83169391345983
60,1,-7.90949885431359
60,1,-7.151391462769
60,1,-7.29759909276861
60,1,-7.62312476137983
60,1,-7.98869616601151
60,1,-6.84567479777494
60,1,-8.0487316733273
60,1,-6.98410768449385
60,1,-8.83842311167612
60,1,-7.8461052089109
60,1,-7.02152189735865
60,1,-7.0364078950683
60,1,-7.01237336327339
60,1,-7.17515268948174
60,1,-7.30105142796911
60,1,-7.73739784398404
60,1,-7.14062054843422
60,1,-7.43544536705493
60,1,-7.90947070036179
60,1,-7.07863358919183
60,1,-6.92387920783732
60,1,-7.31216150801897
60,1,-7.15482113863092
60,1,-7.2966783330818
60,1,-7.51567533584306
60,1,-7.03827228130145
60,1,-6.76631811585555
60,1,-6.75072870779392
60,1,-7.61257529380574
60,1,-7.49372693777337
60,1,-7.41183672156722
60,1,-8.01869140013322
60,1,-7.41341454058828
60,1,-7.53691439392803
60,1,-7.26103586083846
60,1,-7.14782695215402
60,1,-7.31323141268837
60,1,-7.68347554518914
60,1,-7.36077887981372
60,1,-7.85465512665653
60,1,-7.11048794277907
60,1,-7.3946593839651
60,1,-7.83774612621455
60,1,-7.46807709496849
60,1,-7.73501712105578
60,1,-7.62228273753991
60,1,-7.53380643181686
60,1,-7.08202241292761
60,1,-8.3335932847993
60,1,-8.09782890311511
60,1,-6.83483644514636
60,1,-6.33800627215414
60,1,-7.7400331012875
60,1,-7.61896800616212
60,1,-7.53839796248716
60,1,-7.54674321380416
60,1,-7.9740296923089
60,1,-7.8581740562205
60,1,-7.25530037305204
60,1,-7.40137141560153
